,phim_truyen,thoi_su,ca_nhac,the_thao,tong_hop,text
0,0,1,0,0,0,180 độ xanh
1,0,1,0,0,0,An ninh thành phố
2,0,1,0,0,0,An ninh và Cuộc sống
3,0,1,0,0,0,An sinh xã hội - Nâng cao tiện ích Bảo hiểm xã hội
4,0,1,0,0,0,An sinh xã hội
5,0,1,0,0,0,Câu chuyện kinh doanh
6,0,0,0,0,1,Chiến binh xanh
7,0,0,0,0,1,Chuyến đi màu xanh
8,0,0,0,0,1,Cuộc sống xanh
9,0,1,0,0,0,Doanh nghiệp - Doanh nhân - RCEP và cơ hội trên sân chơi mới
10,0,1,0,0,0,Doanh nghiệp - Doanh nhân - Thương mại điện tử
11,0,0,0,0,1,Hành trang cuộc sống
12,0,0,0,0,1,Hành trình di sản - Về xứ Mường Lò
13,0,1,0,0,0,Hành trình yêu thương
14,0,0,0,0,1,Không gian xanh - Nhà TKNT Thanh Thảo - Nhà có thú cưng
15,0,0,0,0,1,Không gian xanh
16,0,1,0,0,0,Kinh tế số
17,0,1,0,0,0,Ký ức Sài Gòn - Thành phố Hồ Chí Minh
18,0,1,0,0,0,Lời tự sự - Diễn viên Dương Hoàng Anh
19,0,1,0,0,0,Năng lượng xanh
20,0,0,0,0,1,Nét xanh trong kiến trúc nay
21,0,0,0,0,1,Nhanh như chớp
22,0,1,0,0,0,Nhịp sống kinh doanh
23,0,0,0,0,1,Những hộp quà xinh
24,0,1,0,0,0,Nông nghiệp xanh -  thực phẩm sạch
25,1,0,0,0,0,Ranh giới trắng đen
26,0,1,0,0,0,Sống xanh: Lối sống tối giản
27,0,0,0,0,1,Sức sống thanh xuân
28,0,1,0,0,0,Tài chính - Kinh doanh
29,0,1,0,0,0,Tạp chí bí quyết đẹp: Kính áp tròng
30,0,1,0,0,0,Tạp chí Kinh tế cuối tuần
31,0,0,0,1,0,Tạp chí Quyền Anh
32,0,0,0,0,1,Thanh xuân tỏa sáng
33,0,0,0,0,1,Thanh xuân tôi
34,0,0,0,0,1,Thể dục dưỡng sinh
35,0,0,0,0,1,Thế giới xanh
36,1,0,0,0,0,Tình trăm năm
37,0,1,0,0,0,Trái đất xanh
38,0,0,0,0,1,Trái tim cho em - Mầm xanh
39,0,0,1,0,0,Trời sinh một cặp
40,0,1,0,0,0,Tương lai xanh
41,0,1,0,0,0,Vì một tương lai xanh
42,0,1,0,0,0,Vitamin xanh
43,1,0,0,0,0,Xả xì chét - Tình cũ
44,0,1,0,0,0,Xanh tươi mối ngày
45,0,0,1,0,0,Xuân -  Hạ
46,0,1,0,0,0,360 độ Nhật Bản
47,0,0,0,0,1,A -  bạn đây rồi: Về miền tây sông nước
48,0,0,0,0,1,A -  bạn đây rồi: Về miền Tây sông nước
49,0,1,0,0,0,Âm nhạc Việt Nam những chặng đường
50,0,0,0,0,1,Bạn của nhà nông - Phát triển nuôi thủy sản vùng lòng hồ
51,0,0,0,0,1,Chất Việt - Trả lại gương mặt người
52,0,0,0,0,1,Chất Việt
53,0,0,0,0,1,Chất Việt - Linh chi - Món quà từ thiên nhiên
54,0,0,1,0,0,Chuyên đề âm nhạc: Studio H9 - Hẹn cuối tuần
55,0,0,0,0,1,Chuyện Đông chuyện Tây
56,0,0,0,0,1,Chuyện nhà nông - Gỡ nút thắt về vốn cho phát triển nông nghiệp công nghệ cao
57,0,0,0,0,1,Cơ thể bạn nói gì ? - Vietevent
58,0,1,0,0,0,Cựu chiến binh Việt Nam - Người vác tù và hàng tổng
59,0,0,1,0,0,Dân ca nhạc cổ - Về bên sông Cầu
60,0,1,0,0,0,Dân tộc và phát triển - Khơi dậy nội lực vùng dân tộc thiểu số
61,0,1,0,0,0,Dân tộc và phát triển - Phát triển mô hình tôm lúa
62,0,1,0,0,0,Đồng hành hàng Việt
63,0,1,0,0,0,Hành trình hy vọng - Số 41 - Đặng Văn Lĩnh
64,0,1,0,0,0,Hành trình hy vọng - Số 42 - Phạm Quang Tứ
65,0,1,0,0,0,Hành trình sống khỏe - Run Media
66,0,1,0,0,0,Hành trình vẻ đẹp - Ký ức Tết 199x
67,0,0,0,0,1,Hương bếp Việt
68,0,1,0,0,0,Kết nối không giới hạn
69,0,1,0,0,0,Kết nối không giới hạn: Giáo dục vì phát triển bền vững
70,0,1,0,0,0,Kết nối không giới hạn: Sức khỏe tiền hôn nhân
71,0,0,0,0,1,Khám phá Việt Nam - Mùa cốm Na Lo
72,0,0,0,0,1,Khám phá Việt Nam - Vùng đất vua gà xứ Đông Bắc
73,0,0,0,0,1,Khám phá Việt Nam - Tiếng vọng từ đại ngàn
74,0,0,0,0,1,Khám phá Việt Nam - Làng Trung Đô - Vẻ đẹp giữa cao nguyên
75,0,0,0,0,1,Khám phá Việt Nam - Trâu trong văn hóa Việt
76,0,0,0,0,1,Khám phá Việt Nam - Mảnh đất núi vàng
77,0,0,0,0,1,Khám phá Việt Nam - Tờ giấy thờ của người Mông Vân Hồ
78,0,0,0,0,1,Khám phá Việt Nam - Người Bố Y ở Lao Hầu
79,0,0,0,0,1,Khám phá Việt Nam - Lễ cúng thần đồng bản Cang Nà
80,1,0,0,0,0,Khát vọng mặt trời - Khát vọng mặt trời số 196
81,1,0,0,0,0,Khát vọng mặt trời
82,0,1,0,0,0,Khát vọng non sông
83,0,1,0,0,0,Khát vọng sống
84,0,1,0,0,0,Made in Vietnam - Sản xuất tại Việt Nam
85,0,1,0,0,0,Mỗi ngày một niềm vui
86,1,0,0,0,0,Một phút và cả cuộc đời - Một chỉ vàng
87,1,0,0,0,0,Một phút và cả cuộc đời - Tình yêu vị gì
88,0,1,0,0,0,Nét ẩm thực Việt
89,0,0,0,0,1,Nét xanh trong kiến trúc nay - Số 153 - Tre trong kiến trúc hiện đại
90,0,0,0,0,1,Nét xanh trong kiến trúc nay - Số 154 - Nhà của nắng và gió
